"2020-11-10","surf_neo_njv","nap1x accusing me of bieng racist now because he knows hes wrong... fuck that little bitch","\u2b55\u20e4 Jambo420 \u262d","","",361345130
"2020-11-10","surf_neo_njv","napix admin abuse kick me and mute me for no reason","\u2b55\u20e4 Jambo420 \u262d","","",361345130
"2020-11-10","surf_neo_njv","napix admin abuse .. mute for no reason","\u2b55\u20e4 Jambo420 \u262d","","",361345130
"2020-11-10","surf_neo_njv","napix admin abuse mute for no reson","\u2b55\u20e4 Jambo420 \u262d","","",361345130
"2020-11-10","surf_tronia","there is no reason why s4 endzone is this slow","leffe","","",80969784
"2020-11-10","surf_noble","s3 rngfix remove lol","khonat","","",230126971
"2020-11-10","surf_artifex","nightmare bonus1 times are cheesed","\u1d38\u02e2Kahvo","","",181685241
"2020-11-09","surf_not_so_beginner","!ps not working","Emma","","",38458798
"2020-11-09","surf_nebula","b3 trigger skipping by resetting after going through the first set of rings","Cayden","","",1144841893
"2020-11-09","surf_how2surf","stuck","\u042f \u043d\u0435\u043d\u0430\u0432\u0438\u0436\u0443 \u0440\u0443\u0441\u0441\u043a","","",1062163176
"2020-11-08","surf_sunnyhappylove","theres a guy who thinks hes above god ","Chungus","","",1069135951
"2020-11-08","surf_sunnyhappylove","map sucks","ojelly","","",918165770
"2020-11-08","surf_lianfora","abdo","\u272a abdo","","",948543196
"2020-11-06","surf_christmas2_fix","nvm that speed just displayed different my bad","erk","","",120084621
"2020-11-06","surf_christmas2_fix","s4 wrcp and maybe r2 too get weird +100 units from start boost?","erk","","",120084621
"2020-11-05","surf_gradient","yapacag\u0131n\u0131z mapi sikiyim","holyjesus","","",852857937
"2020-11-04","surf_zor","Professional redstone-engineer is spaming the chat with insults to anyone. its not the first day","Captain Subox","","",32964044
"2020-11-04","surf_4head_csgo","redstone engineer chat reasons","yoda gaming","","",161510576
"2020-11-04","surf_4head_csgo","deathisreal offensive","s5 impossible, rtv","","",366463967
"2020-11-04","surf_4head_csgo","redstone-engineer obv chat reasons.","s5 impossible, rtv","","",366463967
"2020-11-04","surf_legends","no fog and no jail, renders the map kinda useless","Flameboye Jarmaine","","",55277461
"2020-11-02","surf_sandstorm2","surf_lianfora not on this server","leffe","ty!","Robert",80969784
"2020-10-31","surf_togo","&quot;Make font size option in !hud affect center units indicator&quot;","The Wild Healer","Not possible afaik","Robert",243358953
