"OPEN","2020-07-24","surf_rookie","radio doesnt work?","XrayProJones21","","",242445971
"OPEN","2020-07-24","surf_southpark_refix","kill","McLovin","","",1053172060
"OPEN","2020-07-23","surf_summer","when i do playstage i spec a random player, not the bot. it has been happening recently","kakali","","",58335254
"OPEN","2020-07-23","surf_ny_momentum_v3_1","debil","\u0412\u043b\u0430\u0434\u0438\u043c\u0438\u0440","","",279552196
"OPEN","2020-07-22","surf_overgrowth2","s4 bugged idk how","\u1d38\u02e2Pignu","","",244891175
"OPEN","2020-07-22","surf_zor","ICKY VICKY","EDWARD","","",98845923
"CLOSED","2020-07-22","surf_methadone","Methadone has a box to show bonus2 times on the site. However, there is no bonus2","Smeerpaup","Thanks!","Robert",109748884
"OPEN","2020-07-21","surf_ardon_refix","doesnt say i have a rank on map on leaderboard","Fus SE RAH \u10dd","","",166912487
"CLOSED","2020-07-21","surf_warped","tier 4 map (serf_warped) on T2-3 server","iNooVa","Thanks!","Robert",
"OPEN","2020-07-21","surf_premium","crap map aint even centered starzones","SikQ'","","",25111148
"CLOSED","2020-07-19","surf_pyramid","bonus 6 legal?","kakali","yes","Robert",58335254
"CLOSED","2020-07-18","surf_psycho","cannot nominate surf_fungus on #6","Wankie","ty","Robert",67501684
"OPEN","2020-07-17","surf_acp_fix","bugged in tree stage 4","\u0434\u0443\u0433\u0435\u0440(duger)","","",96031921
"OPEN","2020-07-17","surf_hotwheels","b3 ramp #5 i keep hitting an unseen bump on the ramp","tipjar","","",79364588
"CLOSED","2020-07-16","surf_abyss_fix","s2 abyss retard spinehop","kusche","ty","Robert",114147562
"CLOSED","2020-07-16","surf_forbidden_tomb3","s3 lag","khonat","fixed","Robert",230126971
"CLOSED","2020-07-16","surf_finesse_final","s2 can u remove spinehop and remove nojump at last window","khonat","no sir","Robert",230126971
"OPEN","2020-07-16","surf_sup","&quot;Stage 9 is already being played!&quot; its not","kakali","","",58335254
"CLOSED","2020-07-15","surf_classics","remove axiom2","iNooVa","ok","Robert",169834495
"OPEN","2020-07-14","surf_sinister2","can you place triggers under this ramp? setpos -1938.914307 2436.426270 6536.093750;setang -52.228146 -91.591034 0.0000","Wankie","","",67501684
"CLOSED","2020-07-14","surf_psycho","block this s5 start","leffe","looks fine","Robert",80969784
"CLOSED","2020-07-13","surf_heaven_njv","these bhops on bonus is so rng","leffe","ok","Robert",80969784
"OPEN","2020-07-13","surf_fruits","s7 lagged","leffe","","",80969784
"CLOSED","2020-07-13","surf_cyka_ksf","s4 finish has a bunch of triggers","Gorange","yes","Robert",62124394
"CLOSED","2020-07-12","surf_klue","the map has really unmeshed edges, you get stuck on them very easily","\u272aMouseBiceps\u272a","unfortunate","Robert",54426042
"OPEN","2020-07-11","surf_orthodox_fix","s4 start lag","twitch.tv\/redvenomsurf","","",463273158
"CLOSED","2020-07-11","surf_reprise","surf_reprise has a bug in the last few ramps. You get a lot of lagging. Not sure how to explain.","Freak. \u2122","yes, its a landmark teleport.. nothing we can do about it","bro",
"CLOSED","2020-07-09","surf_sanctuary","surf_sanctuary b2 start cheat by going back in zone ","hi","fixed","bro",231420627
"CLOSED","2020-07-08","surf_fast","make b2 doable solo","granis","no","Robert",38142345
"CLOSED","2020-07-08","surf_legends","i can't validate my time when i finish this map","kibab","please report again if it happens, are you sure you landed on the right platform for end?","bro",95975220
"CLOSED","2020-07-08","surf_leet_xl_beta7z_","kusche replay is +00 28 but says its +00 06 ","twitch.tv\/whz1gud","old replay not from his current run","Robert",219496353
"CLOSED","2020-07-07","surf_classics2","can we have lasers on s3?","kakali","done","bro",58335254
"CLOSED","2020-07-05","surf_froots_ksf","s14 replay?","Liquidator","ty","Robert",353708445
